Assembly ID	superkingdom	phylum	class	order	family	genus	species
GCA_008086595.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium paludosum
GCA_002995745.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium vincentii
GCA_006569205.1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	Ureibacillus terrenus
GCA_007992015.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus namurensis
GCA_000188015.3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus ictaluri
GCA_001412185.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mediterranea
GCA_003710825.1	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fluminis
GCA_004362745.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Oharaeibacter	Oharaeibacter diazotrophicus
GCA_003312425.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrolimnae
GCA_001637185.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium fryxellicola
GCA_000737705.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium soli
GCA_900446855.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium jejuense
GCA_900110645.1	Bacteria	Bacteroidetes	Saprospiria	Saprospirales	Lewinellaceae	Lewinella	Lewinella agarilytica
GCA_013388295.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella alsatica
GCA_000166695.1	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor kristjanssonii
GCA_000193435.3	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor lactoaceticus
GCA_900445045.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces denticolens
GCA_003933715.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia georgiae
GCA_000429265.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces gerencseriae
GCA_003858505.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Buchananella	Buchananella hordeovulneris
GCA_009935825.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces howellii
GCA_900105015.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia meyeri
GCA_002161605.1	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	[Collinsella] massiliensis
GCA_000455225.1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera massiliensis
GCA_000478195.2	Bacteria	Cyanobacteria	U. Cyanobacteria	Oscillatoriales	Oscillatoriaceae	Lyngbya	Lyngbya aestuarii
GCA_000317105.1	Bacteria	Cyanobacteria	U. Cyanobacteria	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria acuminata
GCA_001485145.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces turgidiscabies
GCA_000701425.1	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus frigens
GCA_001949125.1	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus marmoris
GCA_900113265.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia rubra
GCA_001049735.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nereida	Nereida ignava
GCA_004115865.1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Aliarcobacter	Aliarcobacter trophiarum
GCA_003268855.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium aciduliphilum
GCA_000759345.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas xinjiangensis
GCA_001507315.1	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora maris
GCA_000420425.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia vaccimaxillae
GCA_014203755.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix violaceirubra
GCA_006346325.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas japonica
GCA_001865995.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anaerobacillus	Anaerobacillus arseniciselenatis
GCA_000093085.1	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	U. Sporolactobacillaceae	[Bacillus] selenitireducens
GCA_002236815.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia cerradoensis
GCA_010731575.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium monacense
